institution_id,amount,basis,certainty,note
school:70979901,13674771,realized,observed,FIN 2-01 PO account 672/673; school IČO 70979901
school:75032759,2988176,realized,observed,FIN 2-01 PO account 672/673; school IČO 75032759
school:75030357,8699027,realized,observed,FIN 2-01 PO account 672/673; school IČO 75030357
school:75034239,6273226,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034239
school:75033097,3002165,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033097
school:71001093,15479079,realized,observed,FIN 2-01 PO account 672/673; school IČO 71001093
school:70980349,11864928,realized,observed,FIN 2-01 PO account 672/673; school IČO 70980349
school:75030047,10952823,realized,observed,FIN 2-01 PO account 672/673; school IČO 75030047
school:75033551,14962398,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033551
school:70990816,64171192,realized,observed,FIN 2-01 PO account 672/673; school IČO 70990816
school:75030616,13512976,realized,observed,FIN 2-01 PO account 672/673; school IČO 75030616
school:71000500,7277017,realized,observed,FIN 2-01 PO account 672/673; school IČO 71000500
school:75030501,9219302,realized,observed,FIN 2-01 PO account 672/673; school IČO 75030501
school:70988978,5121329,realized,observed,FIN 2-01 PO account 672/673; school IČO 70988978
school:75030420,29810173,realized,observed,FIN 2-01 PO account 672/673; school IČO 75030420
school:75034590,34034033,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034590
school:70993467,26393534,realized,observed,FIN 2-01 PO account 672/673; school IČO 70993467
school:75033372,8848765,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033372
school:75033887,8449494,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033887
school:70989788,15974538,realized,observed,FIN 2-01 PO account 672/673; school IČO 70989788
school:71007954,4912203,realized,observed,FIN 2-01 PO account 672/673; school IČO 71007954
school:71006494,9237647,realized,observed,FIN 2-01 PO account 672/673; school IČO 71006494
school:47559454,6444897,realized,observed,FIN 2-01 PO account 672/673; school IČO 47559454
school:75030691,2657688,realized,observed,FIN 2-01 PO account 672/673; school IČO 75030691
school:70988153,4175903,realized,observed,FIN 2-01 PO account 672/673; school IČO 70988153
school:70975001,61527213,realized,observed,FIN 2-01 PO account 672/673; school IČO 70975001
school:75032830,4877422,realized,observed,FIN 2-01 PO account 672/673; school IČO 75032830
school:70974951,13903465,realized,observed,FIN 2-01 PO account 672/673; school IČO 70974951
school:70974969,24585764,realized,observed,FIN 2-01 PO account 672/673; school IČO 70974969
school:70975019,63300781,realized,observed,FIN 2-01 PO account 672/673; school IČO 70975019
school:70974993,17767319,realized,observed,FIN 2-01 PO account 672/673; school IČO 70974993
school:70987947,2845970,realized,observed,FIN 2-01 PO account 672/673; school IČO 70987947
school:75033992,6976180,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033992
school:71002715,26086145,realized,observed,FIN 2-01 PO account 672/673; school IČO 71002715
school:70998477,6946907,realized,observed,FIN 2-01 PO account 672/673; school IČO 70998477
school:75030683,18277041,realized,observed,FIN 2-01 PO account 672/673; school IČO 75030683
school:75033089,13680218,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033089
school:47559373,9892466,realized,observed,FIN 2-01 PO account 672/673; school IČO 47559373
school:71001549,15422383,realized,observed,FIN 2-01 PO account 672/673; school IČO 71001549
school:70990832,19989635,realized,observed,FIN 2-01 PO account 672/673; school IČO 70990832
school:70991430,9874887,realized,observed,FIN 2-01 PO account 672/673; school IČO 70991430
school:70997454,10750323,realized,observed,FIN 2-01 PO account 672/673; school IČO 70997454
school:71004513,20994427,realized,observed,FIN 2-01 PO account 672/673; school IČO 71004513
school:75031108,14357600,realized,observed,FIN 2-01 PO account 672/673; school IČO 75031108
school:75034395,8740045,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034395
school:75033241,2871911,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033241
school:00664740,94337654,realized,observed,FIN 2-01 PO account 672/673; school IČO 00664740
school:75143721,5564202,realized,observed,FIN 2-01 PO account 672/673; school IČO 75143721
school:43776744,56107607,realized,observed,FIN 2-01 PO account 672/673; school IČO 43776744
school:43776752,64071311,realized,observed,FIN 2-01 PO account 672/673; school IČO 43776752
school:43776761,62522318,realized,observed,FIN 2-01 PO account 672/673; school IČO 43776761
school:48705721,33310373,realized,observed,FIN 2-01 PO account 672/673; school IČO 48705721
school:48704148,57449029,realized,observed,FIN 2-01 PO account 672/673; school IČO 48704148
school:48705969,84246067,realized,observed,FIN 2-01 PO account 672/673; school IČO 48705969
school:48707104,54353435,realized,observed,FIN 2-01 PO account 672/673; school IČO 48707104
school:48705578,13930128,realized,observed,FIN 2-01 PO account 672/673; school IČO 48705578
school:48703591,44165872,realized,observed,FIN 2-01 PO account 672/673; school IČO 48703591
school:61894222,10686000,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894222
school:61894249,16487656,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894249
school:61894281,9803642,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894281
school:61894397,47748630,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894397
school:61894494,63371073,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894494
school:61894508,30419601,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894508
school:61894567,38545097,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894567
school:61894605,44934301,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894605
school:61894648,51558724,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894648
school:61894273,72313510,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894273
school:67673791,8125402,realized,observed,FIN 2-01 PO account 672/673; school IČO 67673791
school:70860815,77483982,realized,observed,FIN 2-01 PO account 672/673; school IČO 70860815
school:70867429,64861516,realized,observed,FIN 2-01 PO account 672/673; school IČO 70867429
school:61894354,34235983,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894354
school:61894371,62130468,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894371
school:61894419,50189927,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894419
school:61894427,41095809,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894427
school:61894435,57075362,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894435
school:61894630,22682606,realized,observed,FIN 2-01 PO account 672/673; school IČO 61894630
school:00066729,54421714,realized,observed,FIN 2-01 PO account 672/673; school IČO 00066729
school:16977360,53017079,realized,observed,FIN 2-01 PO account 672/673; school IČO 16977360
school:67775454,8496759,realized,observed,FIN 2-01 PO account 672/673; school IČO 67775454
school:67673368,28737390,realized,observed,FIN 2-01 PO account 672/673; school IČO 67673368
school:67673627,35223314,realized,observed,FIN 2-01 PO account 672/673; school IČO 67673627
