institution_id,ico,total_costs_amount,materials_amount,energy_amount,repairs_amount,services_amount,personnel_amount,depreciation_amount,other_costs_amount,basis,certainty,note
school:00335479,00335479,83848401,4586055,4179952,1518867,8439179,59858413,3180534,2085401,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00335487,00335487,87276604,5529024,2237046,6503791,2664972,65191105,2567874,2582792,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00335533,00335533,56768208,3716413,2121407,573581,6894444,41198581,1344461,919321,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00376469,00376469,95227216,9892217,4055597,2192469,5164739,65343741,5746632,2831821,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00380385,00380385,215813122,26514970,10289563,4222248,9321791,144949255,9616301,10898994,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00380407,00380407,77125666,7796524,2013188,1010887,6214832,54792701,2093298,3204236,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00380431,00380431,84152147,2800531,3066549,4087910,3497926,65780154,2429461,2489616,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00380521,00380521,28603887,674060,883919,251111,1269090,24772482,304197,449028,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00380601,00380601,25394986,1848117,1210534,381649,535875,20906649,17404,494758,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00380652,00380652,28618611,331770,268953,668113,1597385,25311689,115704,324997,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00395404,00395404,28686301,2340912,1207877,249176,679296,22969050,100477,1139513,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00400866,00400866,93553781,5935433,2725343,1466942,3696080,77919403,436141,1374439,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00400963,00400963,33078612,191661,434262,6500,3382579,28306502,11282,745826,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00401081,00401081,38154869,265255,1186527,138854,1848220,32958058,1564212,193743,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00401803,00401803,138084177,10299526,2599812,424061,23228120,95095226,1622627,4814805,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00402320,00402320,16470964,453311,206281,81499,467607,14968577,0,293689,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00402338,00402338,52016020,661676,1597235,900701,1519347,45706934,779483,850644,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00402371,00402371,50476021,1258197,1179469,332665,1203842,44321293,1066758,1113797,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00409014,00409014,78721761,2876962,2966541,2970797,3749837,63048719,1128074,1980831,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
