institution_id,pedagogical_amount,nonpedagogical_amount,oniv_amount,other_amount,operations_amount,investment_amount,bucket_basis,bucket_certainty
school:70999341,4210501,347791,55355,1586286,0,0,allocated,observed
school:70645957,4140230,393054,86407,1577583,0,0,allocated,observed
school:75016133,4175033,375463,58205,1583573,0,0,allocated,observed
school:75020408,4128095,418260,54641,1582132,0,0,allocated,observed
school:60610760,4166402,375463,58056,1580569,0,0,allocated,observed
school:75033887,4150308,375463,57789,1574969,0,0,allocated,observed
school:70535779,4257679,295332,20959,1584448,0,0,allocated,observed
school:75029065,4170004,372418,31934,1580763,0,0,allocated,observed
school:75023741,4139206,375463,65657,1571105,0,0,allocated,observed
school:75041383,4108605,393054,81539,1566578,0,0,allocated,observed
school:63832674,4287524,261728,15840,1583140,0,0,allocated,observed
school:75018136,4032841,492388,47904,1574779,0,0,allocated,observed
school:60075945,4076763,428278,70065,1567754,0,0,allocated,observed
school:70992916,4181262,337991,47668,1572701,0,0,allocated,observed
school:70993211,4105806,407016,51941,1570462,0,0,allocated,observed
school:73184667,4125571,375463,67792,1566359,0,0,allocated,observed
school:70993301,4162205,315897,91275,1558379,0,0,allocated,observed
school:70695041,4081051,393054,81539,1556988,0,0,allocated,observed
school:70989699,4057713,434995,52497,1563462,0,0,allocated,observed
school:72742372,4207715,300078,30285,1568712,0,0,allocated,observed
school:75034531,4067139,418260,57641,1560919,0,0,allocated,observed
school:75031205,4062194,393054,94926,1550426,0,0,allocated,observed
school:70993262,3971096,509516,47587,1559253,0,0,allocated,observed
school:47813164,4063077,393054,80322,1550733,0,0,allocated,observed
school:70986169,4113163,373881,33567,1561491,0,0,allocated,observed
school:70201013,4119183,365965,19416,1560831,0,0,allocated,observed
school:70998906,3991038,467816,46303,1551682,0,0,allocated,observed
school:60555602,4101328,365965,22464,1554618,0,0,allocated,observed
school:62350153,4095828,365965,20736,1552704,0,0,allocated,observed
school:70998639,3924131,522869,39920,1547556,0,0,allocated,observed
school:70830754,3963973,468426,51501,1542475,0,0,allocated,observed
school:70695971,4052966,402362,20151,1550454,0,0,allocated,observed
school:46773690,4040008,400118,34769,1545164,0,0,allocated,observed
