institution_id,programme,project_name,amount,basis,certainty
school:47813504,Operační program Jan Amos Komenský,Šablony II ZUŠ Hradec nad Moravicí,357840,allocated,observed
school:11893079,Operační program Jan Amos Komenský,Kvalitní vzdělávání v MŠ Barevný svět,583408,allocated,observed
school:60076551,Operační program Jan Amos Komenský,Umění je bohatství a radost,1046816,allocated,observed
school:64328481,Operační program Jan Amos Komenský,S radostí a úsměvem,380624,allocated,observed
school:72743565,Operační program Jan Amos Komenský,Společně se učíme II - MŠ Vysoké nad Jizerou,346816,allocated,observed
school:75021421,Operační program Jan Amos Komenský,Šablony JAK pro ZŠ a MŠ Křídla,606816,allocated,observed
school:47487259,Operační program Jan Amos Komenský,Proč bychom se netěšili do ZUŠ 3,739408,allocated,observed
school:00583677,Operační program Jan Amos Komenský,ZŠ a MŠ Loučovice - JAK II.,889952,allocated,observed
school:70998451,Operační program Jan Amos Komenský,Šablony OP JAK II pro Krtečka,304752,allocated,observed
school:75030501,Operační program Jan Amos Komenský,Šablony II ZŠ a MŠ Osek,668160,allocated,observed
school:70991685,Operační program Jan Amos Komenský,MŠ Čestlice šablony OP JAK II,347712,allocated,observed
school:70631107,Operační program Jan Amos Komenský,Šablony II. MŠ Hlubočky,421520,allocated,observed
school:61357090,Operační program Jan Amos Komenský,Šablony OP JAK 2 pro MŠ U Jezu Žatec,580000,allocated,observed
school:70991511,Operační program Jan Amos Komenský,Šablony OP JAK 2 pro MŠ Bochov,333632,allocated,observed
school:70921539,Operační program Jan Amos Komenský,Barevný deštník 2,500000,allocated,observed
school:75017121,Operační program Jan Amos Komenský,Já a ty jsme vlastně my,923136,allocated,observed
school:60460041,Operační program Jan Amos Komenský,Šablony II ZUŠ Biskupská Praha,899712,allocated,observed
school:63834341,Operační program Jan Amos Komenský,Evropu spojuje vzdělávání II,1774976,allocated,observed
school:60153041,Operační program Jan Amos Komenský,Šablony II OP JAK - MŠ Trutnov Na Struze,384928,allocated,observed
school:70851867,Operační program Jan Amos Komenský,Šablony pro MŠ a ZŠ II,420624,allocated,observed
