institution_id,institution_name,ico,founder_id,founder_name,founder_type,municipality,region
school:72550040,IČO 72550040,72550040,founder:00255467,Zřizovatel IČO 00255467,obec,,Plzeňský
school:75033984,IČO 75033984,75033984,founder:00243132,Zřizovatel IČO 00243132,obec,,Středočeský
school:75022877,IČO 75022877,75022877,founder:00287954,Zřizovatel IČO 00287954,obec,,Zlínský
school:75022974,IČO 75022974,75022974,founder:00543730,Zřizovatel IČO 00543730,obec,,Vysočina
school:75016621,IČO 75016621,75016621,founder:00278645,Zřizovatel IČO 00278645,obec,,Pardubický
school:75016052,IČO 75016052,75016052,founder:00272841,Zřizovatel IČO 00272841,obec,,Královéhradecký
school:03341631,IČO 03341631,03341631,founder:00241504,Zřizovatel IČO 00241504,obec,,Středočeský
school:72743409,IČO 72743409,72743409,founder:00265314,Zřizovatel IČO 00265314,obec,,Ústecký
school:70989915,IČO 70989915,70989915,founder:00276782,Zřizovatel IČO 00276782,obec,,Pardubický
school:70990263,IČO 70990263,70990263,founder:00294284,Zřizovatel IČO 00294284,obec,,Vysočina
school:71005862,IČO 71005862,71005862,founder:00488151,Zřizovatel IČO 00488151,obec,,Jihomoravský
school:71004246,IČO 71004246,71004246,founder:00269255,Zřizovatel IČO 00269255,obec,,Královéhradecký
school:70981361,IČO 70981361,70981361,founder:00581160,Zřizovatel IČO 00581160,obec,,Jihočeský
school:70993726,IČO 70993726,70993726,founder:00662887,Zřizovatel IČO 00662887,obec,,Středočeský
school:75031256,IČO 75031256,75031256,founder:00238988,Zřizovatel IČO 00238988,obec,,Středočeský
school:75032741,IČO 75032741,75032741,founder:00234885,Zřizovatel IČO 00234885,obec,,Středočeský
school:70995010,IČO 70995010,70995010,founder:00242055,Zřizovatel IČO 00242055,obec,,Středočeský
school:75022257,IČO 75022257,75022257,founder:00842478,Zřizovatel IČO 00842478,obec,,Vysočina
school:75005778,IČO 75005778,75005778,founder:00257192,Zřizovatel IČO 00257192,obec,,Plzeňský
school:75021234,IČO 75021234,75021234,founder:00288543,Zřizovatel IČO 00288543,obec,,Olomoucký
school:71011820,IČO 71011820,71011820,founder:00295736,Zřizovatel IČO 00295736,obec,,Vysočina
school:70979448,IČO 70979448,70979448,founder:00283533,Zřizovatel IČO 00283533,obec,,Jihomoravský
