institution_id,founder_id,amount,basis,certainty,attribution_method,source_document_kind,source_recipient_name,match_method,source_url,note
school:14891247,founder:00064581,13846000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"ŠKOLA EU PRAHA, střední odborná škola a Gymnázium",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:14891263,founder:00064581,21025000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední škola a vyšší odborná škola umělecká a řemeslná,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:14891409,founder:00064581,11871000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Vyšší odborná škola informačních studií a Střední škola elektrotechniky, multimédií a informatiky",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:14891522,founder:00064581,43192000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Akademie řemesel Praha - Střední škola technická,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:14891531,founder:00064581,8854000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední odborné učiliště, Praha 4, Ohradní 57",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:41190726,founder:00064581,12045000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední škola gastronomie,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:45248001,founder:00064581,5595000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední odborná škola, Praha 5, Drtinova 3/498",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:47611014,founder:00063941,6600000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Nad Vodovodem 460/81, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:47611057,founder:00063941,6600000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:47611073,founder:00063941,6700000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Olešská 2222/18, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:47611171,founder:00063941,6300000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:47611740,founder:00063941,3100000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Mateřská škola Větrník, Praha 10, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:47611871,founder:00063941,6000000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:47611880,founder:00063941,6300000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:47611898,founder:00063941,5900000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola Solidarita, Praha 10, Brigádniků 510/14, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:48132012,founder:00063941,5800000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, V Rybníčkách 1980/31, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
